"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Aulacoseira.distans.septentrionalis.Ca+secchi_m","Ca+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",323.308068661399,332.507983748425,0.4911,NA,13,3,22.689,22.739,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",323.448314256606,332.597416823288,0.49184,NA,17,5,22.829,22.829,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.bare_rock+Mg","bare_rock+Mg","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",331.378941325932,340.578856412957,0.19499,NA,13,2,30.759,30.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.bare_rock","bare_rock","s(bare_rock, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",331.880176667257,340.202332846054,0.19046,NA,9,0,31.261,30.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.Fe+secchi_m","Fe+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.062123053704,343.262038140729,0.37274,NA,13,3,33.443,33.493,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.K+secchi_m","K+secchi_m","s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.593231962282,343.793147049308,0.37367,NA,13,2,33.974,34.024,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+K+secchi_m","Fe+K+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.638709753545,343.787812320227,0.37589,NA,17,4,34.019,34.019,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.secchi_m","secchi_m","s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.981853504991,343.304009683788,0.36904,NA,9,1,34.362,33.535,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+Mg+secchi_m","Fe+Mg+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",335.119996860217,344.269099426899,0.37138,NA,17,4,34.5,34.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.K+Mg+secchi_m","K+Mg+secchi_m","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",335.160622664682,344.309725231364,0.36758,NA,17,3,34.541,34.541,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Mg+secchi_m","Mg+secchi_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",335.203358939232,344.403274026257,0.36773,NA,13,1,34.584,34.635,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",342.362260931525,351.56217601855,0.06011,NA,13,2,41.743,41.794,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.460345594192,352.609448160874,0.05697,NA,17,4,42.841,42.841,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca","Ca","s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.658733893825,351.980890072622,0.0439,NA,9,0,43.039,42.212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.746052586813,352.06820876561,0.04093,NA,9.07,3,43.126,42.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+waterT","Ca+waterT","s(Ca, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.845467714757,353.045382801783,0.03932,NA,13,2,43.226,43.277,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.062947597783,353.262862684808,0.04165,NA,13.04,5,43.443,43.494,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+K","Fe+K","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",345.612419222562,354.812334309587,0.1603,NA,13.02,2,44.993,45.044,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+K+Mg","Fe+K+Mg","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.142987554436,355.292090121118,0.16607,NA,17,2,45.523,45.523,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+waterT","Alkalinity+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.256129589237,355.456044676262,0.23042,NA,13,3,45.637,45.687,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Altitude","Altitude","s(Altitude, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.412599319548,354.734755498346,0.18038,NA,9,2,45.793,44.966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.Fe+K+waterT","Fe+K+waterT","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.566985310159,355.716087876841,0.17241,NA,17.02,5,45.947,45.947,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity","Alkalinity","s(Alkalinity, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.601993736676,354.924149915473,0.23011,NA,9,2,45.982,45.155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Altitude+Mg","Altitude+Mg","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.643910606979,355.843825694004,0.181,NA,13,4,46.024,46.075,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.Fe+waterT","Fe+waterT","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",347.002204294388,356.202119381414,0.19058,NA,13,4,46.383,46.433,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+Mg","Fe+Mg","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",347.002569194167,356.202484281192,0.16894,NA,13,1,46.383,46.434,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe","Fe","s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",347.012034056409,355.334190235206,0.18674,NA,9,2,46.392,45.566,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+Mg+waterT","Fe+Mg+waterT","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",348.033888684203,357.182991250885,0.17248,NA,17,3,47.414,47.414,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.K+waterT","K+waterT","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",348.403522188693,357.603437275718,0.19012,NA,13,4,47.784,47.835,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.K","K","s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",348.441173846096,356.763330024894,0.18578,NA,9,2,47.822,46.995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.K+Mg","K+Mg","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",348.460432080542,357.660347167568,0.18805,NA,13,4,47.841,47.892,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.waterT","waterT","s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",348.926698624535,357.248854803333,0.18347,NA,9,2,48.307,47.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Mg+waterT","Mg+waterT","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",349.034895505819,358.234810592844,0.18391,NA,13,4,48.415,48.466,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Mg","Mg","s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",349.05539022141,357.377546400207,0.18086,NA,9,2,48.436,47.609,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.K+Mg+waterT","K+Mg+waterT","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",349.323501057362,358.472603624044,0.19202,NA,17,6,48.704,48.704,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.null","null","s(Latitude, Longitude, k = 5)",349.678891129247,356.358582517464,0.18024,NA,5,0,49.059,46.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diatoma.tenuis.Fe+K+secchi_m","Fe+K+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",217.155280016836,226.304382583517,0.6614,NA,17.02,4,0,0,0.354,0.339,0,0,1,0,1,0,0,0,1,0,0,0,0
"Diatoma.tenuis.Fe+K+Zmax_m","Fe+K+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",218.739436913689,227.88853948037,0.42845,NA,17.03,3,1.584,1.584,0.161,0.154,0,0,1,0,1,0,0,0,0,1,0,0,0
"Diatoma.tenuis.K+secchi_m","K+secchi_m","s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",220.039744467957,229.239659554983,0.60666,NA,13,2,2.884,2.935,0.084,0.078,0,0,1,0,0,0,0,0,1,0,0,0,0
"Diatoma.tenuis.Fe+K","Fe+K","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",220.207366261945,229.407281348971,0.5394,NA,13.05,3,3.052,3.103,0.077,0.072,0,0,1,0,1,0,0,0,0,0,0,0,0
"Diatoma.tenuis.K+Zmax_m","K+Zmax_m","s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",221.62715582419,230.827070911216,0.53423,NA,13,1,4.472,4.523,0.038,0.035,0,0,1,0,0,0,0,0,0,1,0,0,0
"Diatoma.tenuis.secchi_m","secchi_m","s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",221.717055881259,230.039212060057,0.58156,NA,9,2,4.562,3.735,0.036,0.052,0,0,0,0,0,0,0,0,1,0,0,0,0
"Diatoma.tenuis.K","K","s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",221.944844534363,230.267000713161,0.53153,NA,9,0,4.79,3.963,0.032,0.047,0,0,1,0,0,0,0,0,0,0,0,0,0
"Diatoma.tenuis.Fe+K+waterT","Fe+K+waterT","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",222.808431851274,231.957534417956,0.5387,NA,17.04,5,5.653,5.653,0.021,0.02,0,0,1,0,1,1,0,0,0,0,0,0,0
"Diatoma.tenuis.Mg+secchi_m","Mg+secchi_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",223.3422494812,232.542164568225,0.58924,NA,13,3,6.187,6.238,0.016,0.015,0,1,0,0,0,0,0,0,1,0,0,0,0
"Diatoma.tenuis.Fe+K+mix_event","Fe+K+mix_event","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",223.473117878099,232.622220444781,0.53679,NA,17.1,5,6.318,6.318,0.015,0.014,0,0,1,0,1,0,0,1,0,0,0,0,0
"Diatoma.tenuis.Ca+secchi_m","Ca+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",223.656213790602,232.856128877628,0.58347,NA,13,5,6.501,6.552,0.014,0.013,1,0,0,0,0,0,0,0,1,0,0,0,0
"Diatoma.tenuis.Fe+secchi_m","Fe+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",223.966113434327,233.166028521352,0.58068,NA,13,4,6.811,6.862,0.012,0.011,0,0,0,0,1,0,0,0,1,0,0,0,0
"Diatoma.tenuis.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",223.984500612024,232.306656790822,0.59613,NA,9.02,3,6.829,6.002,0.012,0.017,0,0,0,0,0,0,1,0,0,0,0,0,0
"Diatoma.tenuis.K+Mg+secchi_m","K+Mg+secchi_m","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",224.075637857078,233.22474042376,0.60263,NA,17,3,6.92,6.92,0.011,0.011,0,1,1,0,0,0,0,0,1,0,0,0,0
"Diatoma.tenuis.K+mix_event","K+mix_event","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",224.172702497317,233.372617584343,0.52873,NA,13,2,7.017,7.068,0.011,0.01,0,0,1,0,0,0,0,1,0,0,0,0,0
"Diatoma.tenuis.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",224.272530867246,233.472445954271,0.61616,NA,13.02,5,7.117,7.168,0.01,0.009,0,1,0,0,0,0,1,0,0,0,0,0,0
"Diatoma.tenuis.K+waterT","K+waterT","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",224.32283761972,233.522752706746,0.54651,NA,13,2,7.168,7.218,0.01,0.009,0,0,1,0,0,1,0,0,0,0,0,0,0
"Diatoma.tenuis.secchi_m+Zmax_m","secchi_m+Zmax_m","s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",224.647355486006,233.847270573031,0.57284,NA,13,4,7.492,7.543,0.008,0.008,0,0,0,0,0,0,0,0,1,1,0,0,0
"Diatoma.tenuis.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",224.793339923165,233.942442489847,0.53725,NA,17,3,7.638,7.638,0.008,0.007,0,0,1,0,0,0,0,1,0,1,0,0,0
"Diatoma.tenuis.K+Mg","K+Mg","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",225.130703172645,234.330618259671,0.52892,NA,13,2,7.975,8.026,0.007,0.006,0,1,1,0,0,0,0,0,0,0,0,0,0
"Diatoma.tenuis.K+waterT+Zmax_m","K+waterT+Zmax_m","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",225.565917747443,234.715020314125,0.54344,NA,17,2,8.411,8.411,0.005,0.005,0,0,1,0,0,1,0,0,0,1,0,0,0
"Diatoma.tenuis.K+secchi_m+Zmax_m","K+secchi_m+Zmax_m","s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",225.828677798278,234.97778036496,0.49481,NA,17,5,8.673,8.673,0.005,0.004,0,0,1,0,0,0,0,0,1,1,0,0,0
"Diatoma.tenuis.K+Mg+Zmax_m","K+Mg+Zmax_m","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",225.919338071604,235.068440638286,0.52965,NA,17,3,8.764,8.764,0.004,0.004,0,1,1,0,0,0,0,0,0,1,0,0,0
"Diatoma.tenuis.Fe+Mg+secchi_m","Fe+Mg+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",225.938440786769,235.087543353451,0.58459,NA,17.02,5,8.783,8.783,0.004,0.004,0,1,0,0,1,0,0,0,1,0,0,0,0
"Diatoma.tenuis.bare_rock","bare_rock","s(bare_rock, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.140406828079,234.462563006877,0.43588,NA,9,3,8.985,8.158,0.004,0.006,0,0,0,0,0,0,0,0,0,0,0,0,1
"Diatoma.tenuis.Ca","Ca","s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.534458617645,234.856614796442,0.54202,NA,9,2,9.379,8.552,0.003,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0
"Diatoma.tenuis.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.70904093473,235.858143501412,0.58231,NA,17,7,9.554,9.554,0.003,0.003,1,0,0,0,1,0,0,0,1,0,0,0,0
"Diatoma.tenuis.Fe+K+Mg","Fe+K+Mg","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.988575838807,236.137678405489,0.46199,NA,17.4,5,9.833,9.833,0.003,0.002,0,1,1,0,1,0,0,0,0,0,0,0,0
"Diatoma.tenuis.bare_rock+Ca","bare_rock+Ca","s(bare_rock, k = 5, bs = ""cr"") + s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.004390839385,236.204305926411,0.48276,NA,13,5,9.849,9.9,0.003,0.002,1,0,0,0,0,0,0,0,0,0,0,0,1
"Diatoma.tenuis.Mg+secchi_m+Zmax_m","Mg+secchi_m+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.230614259096,236.379716825778,0.58096,NA,17,5,10.075,10.075,0.002,0.002,0,1,0,0,0,0,0,0,1,1,0,0,0
"Diatoma.tenuis.bare_rock+Mg","bare_rock+Mg","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.432216649653,236.632131736679,0.44764,NA,13,5,10.277,10.328,0.002,0.002,0,1,0,0,0,0,0,0,0,0,0,0,1
"Diatoma.tenuis.bare_rock+Zmax_m","bare_rock+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.780437312134,236.980352399159,0.42852,NA,13,4,10.625,10.676,0.002,0.002,0,0,0,0,0,0,0,0,0,1,0,0,1
"Diatoma.tenuis.Fe+secchi_m+Zmax_m","Fe+secchi_m+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.793558915932,236.942661482613,0.57108,NA,17,6,10.638,10.638,0.002,0.002,0,0,0,0,1,0,0,0,1,1,0,0,0
"Diatoma.tenuis.K+Mg+waterT","K+Mg+waterT","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.962730337726,237.111832904408,0.55727,NA,17,3,10.807,10.807,0.002,0.002,0,1,1,0,0,1,0,0,0,0,0,0,0
"Diatoma.tenuis.null","null","s(Latitude, Longitude, k = 5)",227.987037736645,234.666729124862,0.47345,NA,5,0,10.832,8.362,0.002,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diatoma.tenuis.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.070543315421,237.270458402446,0.53844,NA,13,4,10.915,10.966,0.002,0.001,1,0,0,0,1,0,0,0,0,0,0,0,0
"Diatoma.tenuis.Ca+wetland","Ca+wetland","s(Ca, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.108110994036,237.308026081062,0.50689,NA,13,4,10.953,11.004,0.001,0.001,1,0,0,0,0,0,0,0,0,0,0,1,0
"Diatoma.tenuis.K+Mg+mix_event","K+Mg+mix_event","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.21005507426,237.359157640942,0.53091,NA,17,4,11.055,11.055,0.001,0.001,0,1,1,0,0,0,0,1,0,0,0,0,0
"Diatoma.tenuis.Mg","Mg","s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.308999653646,236.631155832443,0.48544,NA,9,2,11.154,10.327,0.001,0.002,0,1,0,0,0,0,0,0,0,0,0,0,0
"Diatoma.tenuis.mix_event","mix_event","s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.44717958901,236.769335767808,0.48812,NA,9,2,11.292,10.465,0.001,0.002,0,0,0,0,0,0,0,1,0,0,0,0,0
"Diatoma.tenuis.Mg+mix_event","Mg+mix_event","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.594340721995,237.79425580902,0.50754,NA,13,4,11.439,11.49,0.001,0.001,0,1,0,0,0,0,0,1,0,0,0,0,0
"Diatoma.tenuis.Altitude","Altitude","s(Altitude, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",228.765230663169,237.087386841967,0.45399,NA,9,3,11.61,10.783,0.001,0.002,0,0,0,0,0,0,0,0,0,0,1,0,0
"Diatoma.tenuis.Fe","Fe","s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.065192519342,237.38734869814,0.46756,NA,9,2,11.91,11.083,0.001,0.001,0,0,0,0,1,0,0,0,0,0,0,0,0
"Diatoma.tenuis.wetland","wetland","s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.627011364162,237.949167542959,0.48609,NA,9,2,12.472,11.645,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,1,0
"Diatoma.tenuis.Alkalinity","Alkalinity","s(Alkalinity, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.640128374588,237.962284553385,0.46567,NA,9,2,12.485,11.658,0.001,0.001,0,0,0,1,0,0,0,0,0,0,0,0,0
"Diatoma.tenuis.Ca+waterT","Ca+waterT","s(Ca, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.641031464434,238.840946551459,0.55187,NA,13,4,12.486,12.537,0.001,0.001,1,0,0,0,0,1,0,0,0,0,0,0,0
"Diatoma.tenuis.bare_rock+Mg+Zmax_m","bare_rock+Mg+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.643322418188,238.79242498487,0.43672,NA,17,6,12.488,12.488,0.001,0.001,0,1,0,0,0,0,0,0,0,1,0,0,1
"Diatoma.tenuis.Altitude+Mg","Altitude+Mg","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",229.817655310257,239.017570397282,0.46384,NA,13,5,12.662,12.713,0.001,0.001,0,1,0,0,0,0,0,0,0,0,1,0,0
"Diatoma.tenuis.Fe+mix_event","Fe+mix_event","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",230.352925110729,239.552840197754,0.4826,NA,13,4,13.198,13.248,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Diatoma.tenuis.Fe+Mg","Fe+Mg","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",230.369626698399,239.569541785424,0.48438,NA,13,4,13.214,13.265,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
