"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","SO4","Alkalinity","Si","Altitude","Fe","erosion_prop","secchi_m","lake_catch_ratio","mix_event","waterT"
"Aulacoseira.distans.septentrionalis.Fe+lake_catch_ratio","Fe+lake_catch_ratio","s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",313.744906094054,322.944821181079,0.01075,NA,13.01,3,9.917,9.968,0.003,0.002,0,0,0,0,0,0,1,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.mix_event","mix_event","s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",317.076076905703,325.3982330845,0.01108,NA,9,0,13.248,12.421,0,0.001,0,0,0,0,0,0,0,0,0,0,1,0
"Aulacoseira.distans.septentrionalis.mix_event+Si","mix_event+Si","s(mix_event, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",317.089544018152,326.289459105177,0.00907,NA,13,2,13.262,13.312,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Aulacoseira.distans.septentrionalis.Mg+mix_event","Mg+mix_event","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",317.399454670687,326.599369757713,0.00697,NA,13,2,13.571,13.622,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Aulacoseira.distans.septentrionalis.erosion_prop+lake_catch_ratio","erosion_prop+lake_catch_ratio","s(erosion_prop, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",317.8649960465,327.064911133525,0.01347,NA,13.47,2,14.037,14.088,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+lake_catch_ratio+Mg","erosion_prop+lake_catch_ratio+Mg","s(erosion_prop, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",317.952543916499,327.101646483181,0.01237,NA,17.46,4,14.125,14.125,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"Aulacoseira.distans.septentrionalis.Mg+mix_event+Si","Mg+mix_event+Si","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",318.116850336985,327.265952903667,0.00352,NA,17,4,14.289,14.289,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Aulacoseira.distans.septentrionalis.Fe+lake_catch_ratio+Si","Fe+lake_catch_ratio+Si","s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",318.213191545217,327.362294111899,0.01764,NA,17.01,2,14.385,14.385,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+lake_catch_ratio+SO4","erosion_prop+lake_catch_ratio+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",319.468526380288,328.61762894697,0.00817,NA,17.47,3,15.641,15.641,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Aulacoseira.distans.septentrionalis.Fe+lake_catch_ratio+SO4","Fe+lake_catch_ratio+SO4","s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",319.614467637669,328.763570204351,0.02074,NA,17.02,4,15.787,15.787,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.Ca+secchi_m+Si","Ca+secchi_m+Si","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",321.452645755149,330.601748321831,0.48123,NA,17,4,17.625,17.625,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",321.5643821648,330.713484731482,0.55793,NA,17,6,17.736,17.736,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+secchi_m","Ca+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",323.308068661173,332.507983748198,0.4911,NA,13,3,19.48,19.531,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+erosion_prop+secchi_m","Ca+erosion_prop+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",324.411534743726,333.560637310407,0.48503,NA,17,6,20.584,20.584,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+Mg+secchi_m","Fe+Mg+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",330.654962989006,339.804065555688,0.38852,NA,17,4,26.827,26.827,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+secchi_m","Fe+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",331.146470234475,340.346385321501,0.39173,NA,13,3,27.319,27.369,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+secchi_m+Si","Fe+secchi_m+Si","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",331.362464385709,340.511566952391,0.38732,NA,17,5,27.535,27.535,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+secchi_m","erosion_prop+secchi_m","s(erosion_prop, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",332.553521212608,341.753436299633,0.25918,NA,13,5,28.726,28.776,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Aulacoseira.distans.septentrionalis.lake_catch_ratio+SO4","lake_catch_ratio+SO4","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",333.405346887178,342.605261974204,0.053,NA,13,2,29.577,29.628,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+Mg+secchi_m","erosion_prop+Mg+secchi_m","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.145558271717,343.294660838399,0.25966,NA,17,7,30.318,30.318,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"Aulacoseira.distans.septentrionalis.secchi_m+Si","secchi_m+Si","s(secchi_m, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.195849612299,343.395764699324,0.37764,NA,13,3,30.368,30.419,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+erosion_prop+SO4","Ca+erosion_prop+SO4","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.867926389586,344.017028956268,0.02574,NA,17,3,31.04,31.04,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.lake_catch_ratio+Mg+SO4","lake_catch_ratio+Mg+SO4","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.950815278,344.099917844682,0.05282,NA,17.01,4,31.123,31.123,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.secchi_m","secchi_m","s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",334.981853504991,343.304009683788,0.36904,NA,9,1,31.154,30.327,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Mg+secchi_m+Si","Mg+secchi_m+Si","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",335.034283829885,344.183386396567,0.36584,NA,17,2,31.206,31.206,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Mg+secchi_m","Mg+secchi_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",335.203358939254,344.40327402628,0.36773,NA,13,1,31.375,31.426,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+erosion_prop","Ca+erosion_prop","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",336.879873677327,346.079788764352,0.00088,NA,13,2,33.052,33.103,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+erosion_prop+waterT","Alkalinity+erosion_prop+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",337.28838046276,346.437483029442,0.10743,NA,17.04,4,33.46,33.46,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"Aulacoseira.distans.septentrionalis.Alkalinity+erosion_prop+SO4","Alkalinity+erosion_prop+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",337.655579027928,346.80468159461,0.17234,NA,17.05,3,33.828,33.828,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+erosion_prop+waterT","Ca+erosion_prop+waterT","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",337.955406596032,347.104509162714,0.00018,NA,17,4,34.127,34.127,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"Aulacoseira.distans.septentrionalis.lake_catch_ratio+Si","lake_catch_ratio+Si","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",338.071300932572,347.271216019597,0.05103,NA,13.02,3,34.243,34.294,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+erosion_prop","Alkalinity+erosion_prop","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",338.654039108678,347.853954195704,0.12445,NA,13.04,1,34.826,34.877,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.lake_catch_ratio+Mg+Si","lake_catch_ratio+Mg+Si","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",338.678189145567,347.827291712248,0.04681,NA,17.02,4,34.85,34.85,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.Altitude+erosion_prop","Altitude+erosion_prop","s(Altitude, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",338.855800279709,348.055715366735,0.03682,NA,13,2,35.028,35.079,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+SO4","erosion_prop+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",339.322181125831,348.522096212856,0.10876,NA,13.03,3,35.494,35.545,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+SO4","Ca+SO4","s(Ca, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",339.425515666155,348.62543075318,0.10547,NA,13,1,35.598,35.648,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+Fe+SO4","Ca+Fe+SO4","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",340.448580411468,349.59768297815,0.13545,NA,17,4,36.621,36.621,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Altitude+erosion_prop+Mg","Altitude+erosion_prop+Mg","s(Altitude, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",340.454046460068,349.60314902675,0.03833,NA,17,4,36.626,36.626,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+Mg+SO4","erosion_prop+Mg+SO4","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",340.747747335924,349.896849902606,0.10797,NA,17.03,5,36.92,36.92,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+Si","Ca+Si","s(Ca, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",341.033585372615,350.23350045964,0.11074,NA,13,2,37.206,37.256,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop","erosion_prop","s(erosion_prop, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",341.712602574768,350.034758753565,0.10949,NA,9.05,0,37.885,37.058,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+Fe+Si","Ca+Fe+Si","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",341.927808690272,351.076911256954,0.10001,NA,17,5,38.1,38.1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+waterT","erosion_prop+waterT","s(erosion_prop, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",341.971641776462,351.171556863487,0.10592,NA,13.05,2,38.144,38.194,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Aulacoseira.distans.septentrionalis.Ca+Si+waterT","Ca+Si+waterT","s(Ca, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",342.132273780252,351.281376346934,0.1214,NA,17,4,38.304,38.304,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.erosion_prop+Mg","erosion_prop+Mg","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",342.218343767469,351.418258854495,0.11171,NA,13.05,2,38.39,38.441,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+SO4","Alkalinity+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",342.674579884646,351.874494971672,0.21228,NA,13,3,38.847,38.897,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+Fe+SO4","Alkalinity+Fe+SO4","s(Alkalinity, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.265246777394,352.414349344076,0.21947,NA,17,5,39.437,39.437,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.erosion_prop+Mg+waterT","erosion_prop+Mg+waterT","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.353293749574,352.502396316256,0.10848,NA,17.05,4,39.525,39.525,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"Aulacoseira.distans.septentrionalis.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.507321472324,352.707236559349,0.07391,NA,13,3,39.679,39.73,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Altitude+Si","Altitude+Si","s(Altitude, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.5347139725,352.734629059525,0.21869,NA,13,4,39.707,39.758,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca","Ca","s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.658733922047,351.980890100845,0.04391,NA,9,0,39.831,39.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Altitude+Fe+Si","Altitude+Fe+Si","s(Altitude, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.742656042854,352.891758609536,0.21784,NA,17,7,39.915,39.915,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.746052586813,352.06820876561,0.04093,NA,9.07,3,39.918,39.091,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+Si","Alkalinity+Si","s(Alkalinity, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.830132586649,353.030047673675,0.27545,NA,13,3,40.002,40.053,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+SO4","Fe+SO4","s(Fe, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.841707748342,353.041622835367,0.18151,NA,13,3,40.014,40.065,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Ca+waterT","Ca+waterT","s(Ca, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",343.845340622299,353.045255709324,0.03994,NA,13,2,40.017,40.068,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.062947597783,353.262862684808,0.04165,NA,13.04,5,40.235,40.286,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+Fe+Si","Alkalinity+Fe+Si","s(Alkalinity, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.387515166163,353.536617732844,0.2759,NA,17,6,40.56,40.56,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.SO4","SO4","s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.414926897131,352.737083075928,0.16181,NA,9,1,40.587,39.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Altitude+Mg+Si","Altitude+Mg+Si","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.468233390832,353.617335957514,0.18638,NA,17,3,40.64,40.64,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+Si+waterT","Alkalinity+Si+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.547138047671,353.696240614353,0.2753,NA,17,5,40.719,40.719,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.607291739086,353.756394305768,0.06999,NA,17,5,40.779,40.779,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.Altitude+Fe","Altitude+Fe","s(Altitude, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.638475692343,353.838390779368,0.1765,NA,13,5,40.811,40.861,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Mg+SO4","Mg+SO4","s(Mg, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",344.731725487145,353.931640574171,0.16164,NA,13,3,40.904,40.955,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+Mg+SO4","Fe+Mg+SO4","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(SO4, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",345.02111297875,354.170215545432,0.18238,NA,17,5,41.193,41.193,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Altitude+Fe+Mg","Altitude+Fe+Mg","s(Altitude, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",345.51313082715,354.662233393832,0.17781,NA,17,8,41.685,41.685,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+Si","Fe+Si","s(Fe, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",345.676927207152,354.876842294178,0.23385,NA,13,5,41.849,41.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Si+waterT","Si+waterT","s(Si, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",345.826442305848,355.026357392873,0.23565,NA,13,3,41.998,42.049,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.Alkalinity+Fe","Alkalinity+Fe","s(Alkalinity, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",345.903741405697,355.103656492722,0.23253,NA,13,4,42.076,42.127,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Si","Si","s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.160968908164,354.483125086962,0.22385,NA,9,2,42.333,41.506,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Mg+Si","Mg+Si","s(Mg, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.20796426501,355.407879352035,0.21836,NA,13,3,42.38,42.431,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Alkalinity+waterT","Alkalinity+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.256129589237,355.456044676262,0.23042,NA,13,3,42.428,42.479,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.Alkalinity+Fe+waterT","Alkalinity+Fe+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.342430662329,355.491533229011,0.23015,NA,17,5,42.514,42.514,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.Altitude","Altitude","s(Altitude, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.412599319548,354.734755498346,0.18038,NA,9,2,42.585,41.758,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+Si+waterT","Fe+Si+waterT","s(Fe, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.418399176086,355.567501742768,0.24519,NA,17,7,42.59,42.59,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"Aulacoseira.distans.septentrionalis.Alkalinity","Alkalinity","s(Alkalinity, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.601993736676,354.924149915473,0.23011,NA,9,2,42.774,41.947,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Fe+Mg+Si","Fe+Mg+Si","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.634555126797,355.783657693479,0.23547,NA,17,7,42.807,42.807,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Altitude+Mg","Altitude+Mg","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.643910606979,355.843825694004,0.181,NA,13,4,42.816,42.867,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Aulacoseira.distans.septentrionalis.Mg+Si+waterT","Mg+Si+waterT","s(Mg, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",346.778464353744,355.927566920426,0.2288,NA,17,6,42.951,42.951,0,0,0,1,0,0,1,0,0,0,0,0,0,1
