"","Ca","Mg","Alkalinity","SO4","Si","Altitude","secchi_m","Fe","erosion_prop","lake_catch_ratio","mix_event","waterT"
"CJ-001-J",2.97083483455541,2.44893808784542,3.03352427498327,1.27989498001164,1.95927995013094,3.56705578890775,0.848189116991399,-0.283996656365201,198.045878523134,2.40283375783253,3.62810782501823,1.04610478724604
"CJ-003-J",2.91011725415051,2.50709991940417,2.93663938821444,1.55230310933835,2.03638932866569,3.59298128922869,0.951823035315912,-0.468521082957745,421.860794575651,1.43912734244285,4.10500747482416,0.974971994298069
"CJ-020-J",2.78522302815318,2.08185117151745,2.71487438223157,2.53126171549639,2.12162549220847,3.61407950927518,1.28443073384452,-0.408935392973501,217.768661657273,1.21168107629914,4.69189668717077,0.879669205632054
"CJ-023-J",2.5124842758779,2.20588072988754,2.81174252544139,1.4983105537896,2.06412090582962,3.59870845345521,0.877946951629188,-0.301029995663981,317.883626505047,1.5991076337705,3.95646858563411,0.96189547366785
"CJ-024-J",2.72316823654289,2.20588072988754,2.81174252544139,2.15836249209525,1.98551628785272,3.61576598957189,1.32118402730231,-0.408935392973501,364.850037686719,1.08682235709906,4.4973340175194,0.913283901760419
"CJ-039-J",2.65055034923941,2.50709991940417,2.74962038519993,1.55230310933835,2.20964903536823,3.57706073828134,0.883661435153618,-0.443697499232713,429.226152511703,1.18361144921843,3.73377887825199,0.997823080745725
"CJ-043-J",2.83950947130836,2.50709991940417,2.89089585604746,1.92210236680761,2.2027606873932,3.59552377770781,0.975431808509263,-0.568636235841013,813.450256622985,1.40000234592796,3.81844034780952,1.01535975540921
"CJ-051-J",2.68828630932597,2.38244931979892,2.89089585604746,1.52608069180203,2.01359552353729,3.57706073828134,0.968482948553935,0.217483944213906,239.05798459788,1.41702305042196,4.02128235220358,0.985875357308394
"CJ-097-J",2.56354041118945,1.90552604843505,2.63573500194596,1.60021030640933,1.90536406876689,3.58458561926804,0.863322860120456,-0.568636235841013,198.062692095205,0.92649678927322,4.40981904267791,0.928395852256714
"CJ-121-J",2.93127984466401,2.558144341171,3.09796840083521,1.64345267648619,2.08767496003676,3.59870845345521,0.926856708949692,-0.494850021680094,94.6902846125198,1.62785723263825,2.99749559965802,0.99211148778695
"CJ-001-A",2.94677148184619,1.90118578013715,2.99732084205518,1.46908529912312,1.64493070791359,3.56705578890775,0.966141732739033,-0.283996656365201,198.045878523134,2.40283375783253,3.62810782501823,1.00646604224923
"CJ-003-S",2.88312178005941,2.29835083771916,2.99732084205518,1.62242127397567,2.0496443525693,3.59298128922869,0.989004615698537,-0.468521082957745,421.860794575651,1.43912734244285,4.10500747482416,0.887054378050957
"CJ-020-S",2.8596485787364,1.90124030207331,2.74962038519993,1.85174741913326,2.12836695393808,3.61407950927518,1.28443073384452,-0.494850021680094,217.768661657273,1.21168107629914,4.69189668717077,0.867467487859051
"CJ-023-S",2.55876855181658,1.60151678365001,2.74962038519993,1.8117760216029,2.03921576590395,3.59870845345521,0.961421094066448,-0.408935392973501,317.883626505047,1.5991076337705,3.95646858563411,0.860338006570994
"CJ-024-S",2.68363231052613,1.60151678365001,2.81174252544139,1.8117760216029,1.97963941222291,3.61576598957189,1.34733001531695,-0.301029995663981,364.850037686719,1.08682235709906,4.4973340175194,0.857935264719429
